20181109.A-TaeRS_1_Tae_RS1_1
534527
565310
554635
20181109.A-TaeRS_1_Tae_RS1_16
363559
377260
374745
20181109.A-TaeRS_1_Tae_RS1_17
877855
893333
910261
20181109.A-TaeRS_1_Tae_RS1_18
806568
825066
877265
20181109.A-TaeRS_1_Tae_RS1_2
316821
322205
332996
20181109.A-TaeRS_1_Tae_RS1_3
724676
716363
754267
TaeRS2728_g086
919244
865208
226635
TaeRS2728_g091
493790
467587
131420
TaeRS2728_g160
750772
736907
186359
TaeRS2728_g165
537549
523676
172213
TaeRS2728_g167
861104
828310
207739
TaeRS2728_g172
926500
899985
318682
