mesh2,lon,lat,pjan,pfeb,pmar,papr,pmay,pjun,pjul,paug,psep,poct,pnov,pdec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
303650,136.0625,20.4583335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362257,122.93749999999999,24.4583335,189.716,162.544,144.82,165.852,208.996,159.804,128.012,216.064,277.76,228.108,242.728,173.172,18.404,18.804,20.444,22.892,25.14,27.348,28.696,28.504,27.248,25.224,22.808,19.804
362306,123.8125,24.0416665,121.91052631578947,124.33157894736843,127.79473684210527,135.89473684210526,177.47894736842105,151.1421052631579,110.14210526315789,223.20526315789473,205.17894736842106,173.12105263157895,163.81578947368422,111.1842105263158,19.026315789473685,19.557894736842105,20.99473684210526,23.24736842105263,25.563157894736843,27.86315789473684,29.073684210526316,28.61578947368421,27.542105263157897,25.78421052631579,23.236842105263158,20.53157894736842
362324,123.56249999999999,24.208333500000006,126.95,135.45,127.9,142.7,172.6,167.8,76.3,230.05,239.95,135.85000000000002,182.95,93.35,18.6,19.2,20.65,23,25.3,27.6,28.9,28.4,27.3,25.5,23,20.1
362327,123.93749999999999,24.208333500000006,123.67692307692307,138.66923076923078,117.27692307692308,137.41538461538462,175.66153846153847,196.1153846153846,90.84615384615385,264.5923076923077,246.63846153846154,174.86153846153846,169.3846153846154,107.83846153846154,18.284615384615385,18.915384615384614,20.607692307692307,23.107692307692307,25.507692307692306,27.838461538461537,29.253846153846155,28.7,27.423076923076923,25.52307692307692,22.76923076923077,19.692307692307693
362335,123.6875,24.291666499999994,180.75581395348837,171.34883720930233,159.9139534883721,169.72093023255815,201.60930232558138,188.18837209302325,161.5046511627907,299.68837209302325,288.053488372093,209.3139534883721,204.70232558139534,143.9720930232558,17.548837209302327,18.230232558139534,19.718604651162792,22.25581395348837,24.78372093023256,27.037209302325582,28.42093023255814,27.82093023255814,26.648837209302325,24.662790697674417,22.016279069767442,18.93953488372093
362336,123.8125,24.291666499999994,222.61707317073171,197.02073170731708,163.4,174.4219512195122,212.56341463414634,211.19024390243902,174.1548780487805,345.95853658536583,320.91219512195124,212.61341463414635,249.9329268292683,152.96219512195123,17.140243902439025,17.774390243902438,19.382926829268293,21.973170731707317,24.408536585365855,26.673170731707316,28.070731707317073,27.476829268292683,26.247560975609755,24.26341463414634,21.69390243902439,18.573170731707318
362337,123.93749999999999,24.291666499999994,179.19189189189188,168.5081081081081,152.05405405405406,168.45945945945945,207.8837837837838,202.24864864864864,153.28108108108108,292.24594594594595,286.18918918918916,202.4027027027027,197.95405405405407,141.25675675675674,17.897297297297296,18.545945945945945,20.164864864864864,22.745945945945945,25.07837837837838,27.37837837837838,28.843243243243244,28.27027027027027,27.008108108108107,24.967567567567567,22.462162162162162,19.294594594594596
362345,123.68750000000001,24.375,185.24761904761905,176.89523809523808,161.1809523809524,177.8047619047619,204.14761904761906,203.9904761904762,165.7904761904762,296.5238095238095,295.42380952380955,214.44761904761904,192.66666666666666,152.56190476190477,18.033333333333335,18.65714285714286,20.033333333333335,22.576190476190476,25.00952380952381,27.261904761904763,28.70952380952381,28.152380952380952,27.004761904761907,24.952380952380953,22.50952380952381,19.36190476190476
362346,123.8125,24.375,243.6578947368421,211.84842105263158,173.4357894736842,188.9936842105263,218.93052631578948,226.0442105263158,190.23684210526315,339.8305263157895,344.32736842105265,215.3957894736842,247.43052631578948,164.16526315789474,17.19684210526316,17.81684210526316,19.243157894736843,21.87578947368421,24.317894736842106,26.542105263157893,28.00526315789474,27.414736842105263,26.277894736842104,24.15157894736842,21.74736842105263,18.550526315789472
362347,123.9375,24.375,203.88888888888889,181.01333333333332,164.59777777777776,180.78666666666666,218.76666666666668,219.16,177.0822222222222,297.3466666666667,306.28444444444443,214.91555555555556,218.5888888888889,155.93333333333334,17.40888888888889,18.075555555555557,19.64666666666667,22.313333333333333,24.702222222222222,26.982222222222223,28.484444444444446,27.895555555555557,26.67111111111111,24.515555555555554,21.99111111111111,18.77777777777778
362350,123.06250000000001,24.4583335,192.56,160.13333333333333,147.31333333333333,168.46,207.98,162.22666666666666,132.28666666666666,214.72,282.61333333333334,226.88666666666666,243.39333333333335,175.1,18.333333333333332,18.733333333333334,20.35333333333333,22.833333333333332,25.006666666666668,27.226666666666667,28.52,28.36,27.086666666666666,25.086666666666666,22.733333333333334,19.74
